Variable,RF_Importance,GB_Importance,Correlation,Abs_Correlation,RF_Importance_Norm,GB_Importance_Norm,Correlation_Norm,Combined_Score
customer_frustrations,0.0015590490305429187,5.949023706519502e-07,0.0,0.0,0.006153062583945368,6.563032642299382e-07,0.0,0.002153801610523359
LQ_Company_Name,0.0014264271272174573,0.00038414960493121783,0.0,0.0,0.005629646799594221,0.00042379834424378574,0.0,0.0021187058003433023
LQ_Company_Address,0.0014866962298004497,0.0001494246843394825,0.0,0.0,0.005867509466390682,0.00016484706218443612,0.0,0.0021113247850012913
customer_sentiment_omc,0.0015034176211835989,2.1249907547492757e-06,0.0,0.0,0.0059335033932368005,2.3443146936395852e-06,0.0,0.0020775466977756537
TO_OMC_User,0.0012519240195720937,1.333347333460334e-05,0.0,0.0,0.004940939439274087,1.4709643976427687e-05,0.0,0.00173447717913768
sentiment_progression,0.0012531853827765823,0.0,0.0,0.0,0.004945917632125149,0.0,0.0,0.0017310711712438022
TO_User_M,0.0010912289261390885,0.000266692428461438,0.0,0.0,0.004306727847813167,0.0002942182112215075,0.0,0.0016103311206621359
call_structure_clarity,0.001073105627187219,0.0002365915828713387,0.0,0.0,0.004235201044939256,0.0002610106057530442,0.0,0.0015736740777423052
stages_out_of_order,0.001002031418757105,2.9364791328168152e-05,0.0,0.0,0.003954694117955327,3.2395581784263916e-05,0.0,0.0013954813949088568
commitment_type,0.0009251023395823077,2.011891791283762e-06,0.0,0.0,0.003651079908642757,2.2195425922574815e-06,0.0,0.001278654807932255
customer_marketing_experience,0.0007930212621214852,4.669146944690352e-09,0.0,0.0,0.0031297985891653554,5.151057605656013e-09,0.0,0.0010954313090780364
ready_to_transfer,0.0006452525996394265,0.00043911255495275624,0.0,0.0,0.0025466034423896446,0.00048443411456574817,0.0,0.0010608631449343874
omc_who_said_hello_first,0.0007272061467249772,1.709202854981106e-06,0.0,0.0,0.0028700476024608023,1.885612611907907e-06,0.0,0.0010051766252754486
tone_assessment,0.000690618919968746,0.0,0.0,0.0,0.002725649644735448,0.0,0.0,0.0009539773756574067
lgs_sentiment_style,0.000669176386058398,0.0,0.0,0.0,0.002641022894374174,0.0,0.0,0.0009243580130309608
customer_availability,0.0006367698409218719,0.0,0.0,0.0,0.0025131247356581154,0.0,0.0,0.0008795936574803404
is_decision_maker,0.0006096996601067031,3.3773483853350295e-09,0.0,0.0,0.002406287482017384,3.7259303023250184e-09,0.0,0.0008422019227816901
commitment_clarity,0.0005621432150359642,2.0017660836659132e-05,0.0,0.0,0.002218597565242722,2.2083717929968406e-05,0.0,0.0007842384491104417
customer_sentiment_lgs,0.0005604817768139243,1.0012847625906848e-06,0.0,0.0,0.0022120404056157348,1.1046290795442654e-06,0.0,0.0007746007621433476
technical_quality_issues,0.0005043176577640662,0.0001971178872545433,0.0,0.0,0.001990378781949165,0.00021746276233777786,0.0,0.0007727445405004299
ready_for_customers,0.00048420826265241487,0.00024574152461184106,0.0,0.0,0.0019110134995088898,0.00027110492866728043,0.0,0.0007637414498616595
customer_language,0.000551215332773902,0.0,0.0,0.0,0.0021754687462311488,0.0,0.0,0.000761414061180902
name_used_first_minute,0.0005502610513293839,0.0,0.0,0.0,0.0021717025058270397,0.0,0.0,0.0007600958770394639
customer_knows_marketing,0.0003998256769749666,9.076841844822696e-08,0.0,0.0,0.0015779827092664157,1.0013678253000757e-07,0.0,0.000552328996117131
hang_up_initiated_by,0.00037884929024154494,5.544613601006413e-05,0.0,0.0,0.0014951956911372693,6.116882676473988e-05,0.0,0.0005447275812657032
lgs_agent_gender,0.0003468554937271324,1.745442529643664e-13,0.0,0.0,0.0013689265178177877,1.9255926455218304e-13,0.0,0.0004791242813036214
who_said_hello_first_lgs,0.0003430926193016675,0.0,0.0,0.0,0.0013540756687541438,0.0,0.0,0.0004739264840639503
personal_greeting,0.0003293137089421163,0.0,0.0,0.0,0.0012996947633945688,0.0,0.0,0.00045489316718809903
timezone,0.00028434591739932277,7.321480106758256e-06,0.0,0.0,0.0011222214253506304,8.077142620551512e-06,0.0,0.00039560449878991364
lgs_call_not_transferred,0.00022612849265862337,2.204092507980492e-05,0.0,0.0,0.0008924560678230941,2.431580674434157e-05,0.0,0.0003208701560986024
within_45_seconds,0.00016612303752741307,0.00013272849464552168,0.0,0.0,0.0006556339322986664,0.0001464276301281473,0.0,0.0002807215468493848
location_mentioned,0.00018706727520114574,1.363752247156168e-07,0.0,0.0,0.0007382940684809299,1.5045074546074553e-07,0.0,0.0002584555817292367
season_status,0.0001504545315090181,2.352695574061019e-05,0.0,0.0,0.0005937954036575655,2.5955213177305454e-05,0.0,0.00021691271589220482
business_type_mentioned,6.452573217066699e-05,0.0,0.0,0.0,0.0002546622078862716,0.0,0.0,8.913177276019505e-05
followup_scheduled,5.6144246203969026e-05,5.915138785040922e-06,0.0,0.0,0.0002215831919674501,6.5256503999825525e-06,0.0,7.983809482860142e-05
call_structure_framed,1.7874010205143417e-05,0.0,0.0,0.0,7.054294076949366e-05,0.0,0.0,2.4690029269322777e-05
common_ground_established,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
payment_info_collected,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lgs_extraction_success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forbidden_industry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
premature_closing_attempt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_sale_closed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
season_month,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
